"Accounts","Customer reference","Shipment number","Status","Delivery due date","ETA","Number of parcels","Weight","Product","Service","Dispatch date","Business/Recipient name","Contact number","Postal Code"
"F181494","JULY 26 PO289","60120251753575","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB EDINBURGH OCEAN TERMIN","01827280880","EH6 6JJ"
"F181494","JULY 26 PO289","60120251753557","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB SHEFFIELD MEADOWHALL","01827280880","S9 1EP"
"F181494","JULY 26 PO289","60120251753283","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - CAMBRIDGE","01827280880","CB1 7DY"
"F181494","JULY 26 PO289","60120251753253","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - BLUEWATER","01827280880","DA9 9SE"
"F181494","JULY 26 PO289","60120251753449","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - WELLINGTON","01827280880","WC2E 7PS"
"F181494","JULY 26 PO289","60120251753466","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - PADDINGTON","01827280880","W2 1HL"
"F181494","JULY 26 PO289","60120251753565","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB ABERDEEN, UNION SQUARE","01827280880","AB11 5RG"
"F181494","JULY 26 PO289","60120251753362","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - READING OR","01827280880","RG1 2AG"
"F181494","JULY 26 PO289","60120251753551","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB ROMFORD","01827280880","RM1 1AU"
"F181494","JULY 26 PO289","60120251753308","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - GLASGOW SA","01827280880","G2 3AT"
"F181494","JULY 26 PO289","60120251753349","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - NORWICH RI","01827280880","NR1 1WX"
"F181494","JULY 26 PO289","60120251753353","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - OXFORD","01827280880","OX1 2AF"
"F181494","JULY 26 PO289","60120251753382","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - SOUTHAMPTO","01827280880","SO14 1JX"
"F181494","JULY 26 PO289","60120251753463","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - WITNEY","01827280880","OX28 6GW"
"F181494","JULY 26 PO289","60120251753261","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - BRISTOL BA","01827280880","BS1 1SA"
"F181494","JULY 26 PO289","60120251753439","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - TELFORD","01827280880","TF3 4JG"
"F181494","JULY 26 PO289","60120251753465","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - YORK CLIFT","01827280880","YO30 4XY"
"F181494","JULY 26 PO289","60120251753297","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - DUDLEY","01827280880","DY1 4TB"
"F181494","JULY 26 PO289","60120251753357","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - QUEENSWAY","01827280880","W2 3RR"
"F181494","JULY 26 PO289","60120251753265","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - BRISTOL FI","01827280880","BS34 7JL"
"F181494","JULY 26 PO289","60120251753926","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB MERTHYR TYDFIL","01827280880","CF48 1UT"
"F181494","JULY 26 PO289","60120251753294","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - CROYDON","01827280880","CR0 4YA"
"F181494","JULY 26 PO289","60120251753563","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB TROWBRIDGE","01827280880","BA14 8TQ"
"F181494","JULY 26 PO289","60120251753350","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - NOTTINGHAM","01827280880","NG1 4AA"
"F181494","JULY 26 PO289","60120251753490","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB ASHFORD","01827280880","TN25 4BN"
"F181494","JULY 26 PO289","60120251753577","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB FALKIRK","01827280880","FK1 1LW"
"F181494","JULY 26 PO289","60120251753428","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - STEVENAGE","01827280880","SG1 2UA"
"F181494","JULY 26 PO289","60120251753541","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB OXFORD","01827280880","OX4 4XP"
"F181494","JULY 26 PO289","60120251753525","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB LEICESTER HIGH CROSS","01827280880","LE1 4SA"
"F181494","JULY 26 PO289","60120251753378","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - SOUTH KENS","01827280880","SW7 3DY"
"F181494","JULY 26 PO289","60120251753520","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB HEMPSTEAD VALLEY","01827280880","ME7 3PD"
"F181494","JULY 26 PO289","60120251753310","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - HEMPSTEAD","01827280880","ME7 3PD"
"F181494","JULY 26 PO289","60120251753247","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - BIRMINGHAM","01827280880","B2 4HS"
"F181494","JULY 26 PO289","60120251753335","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - MILTON KEY","01827280880","MK9 3LF"
"F181494","JULY 26 PO289","60120251753375","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - SHEFFIELD","01827280880","S1 2JL"
"F181494","JULY 26 PO289","60120251754219","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - EDINBURGH","01827280880","EH2 2PL"
"F181494","JULY 26 PO289","60120251753508","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB BROADSTAIRS","01827280880","CT10 2BF"
"F181494","JULY 26 PO289","60120251753291","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - COVENTRY","01827280880","CV1 4BF"
"F181494","JULY 26 PO289","60120251753321","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - LANCASTER","01827280880","LA1 1LH"
"F181494","JULY 26 PO289","60120251753561","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB STOKE TRENTHAM","01827280880","ST4 8AX"
"F181494","JULY 26 PO289","60120251753249","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - BLACKPOOL","01827280880","FY1 4RJ"
"F181494","JULY 26 PO289","60120251753243","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - BASILDON","01827280880","SS14 3WB"
